"ISO
country code",Country,World region,MPI data source,Year,Multidimensional poverty,"Headcount ratio: Population in multidimensional poverty
(H)","Intensity of deprivation among the poor
(A) ",Population: Vulnerable to poverty (who experience 20-33.32% intensity of deprivations) ,Population: In severe poverty (with intensity higher than 50%) ,Population: Destitutes,Proportion of MPI poor who are destitutes,Inequality among the poor,"Year 
of the surveya","Population 
2013a","Population 
2014a","MPI_poor: Year 
of the surveyb",MPI_poor: Population 2013b,Total number of indicators included (out of ten),Indicator(s) missing
DZA,Algeria,Arab States,MICS,2012/13,0.006,1.5,39,4.8,0.2,0.3,17.3,0.064,37566.00,"38,339","39,113",546,557,10,None
JOR,Jordan,Arab States,DHS,2012,0.006,1.7,35,0.7,0.1,0.2,12.1,0.017,7993.00,"8,413","8,809",135,143,10,None
JAM,Jamaica,Latin America and Caribbean,JSLC,2012,0.007,1.8,39.1,8.3,0.1,0.3,15.9,0.036,2841.00,"2,852","2,862",51,51,8,Child Mortality & Floor
UZB,Uzbekistan,Europe and Central Asia,MICS,2006,0.008,2.3,36.2,8.1,0.1,0.8,34.6,0.023,26890.00,"30,020","30,500",625,697,10,None
GUY,Guyana,Latin America and Caribbean,MICS,2014,0.013,3.2,40.3,6.1,0.5,0.5,16.1,0.046,763.00,758,763,25,25,10,None
ECU,Ecuador,Latin America and Caribbean,ECV,2013/14,0.013,3.5,38.5,6.6,0.4,0.7,20.2,0.046,15662.00,"15,662","15,903",544,544,10,None
EGY,Egypt,Arab States,DHS,2014,0.014,3.6,38.1,5.4,0.4,0.7,19.1,0.05,91813.00,"89,807","91,813","3,266","3,194",9,Cooking Fuel
SYR,Syrian Arab Republic,Arab States,PAPFAM,2009,0.016,4.4,37.4,6.3,0.4,0.5,12.3,0.037,20825.00,"19,809","19,203",914,869,10,None
CHN,China,East Asia and the Pacific,CFPS,2014,0.017,4,41.3,16.8,0.3,0.4,10.7,0.043,1390110.00,"1,382,793","1,390,110","56,101","55,806",9,Floor
BLZ,Belize,Latin America and Caribbean,MICS,2011,0.018,4.6,39.6,6.3,0.7,1.3,28.5,0.049,329.00,344,352,15,16,10,None
MDV,Maldives,South Asia,DHS,2009,0.018,5.2,35.6,4.8,0.3,1.5,29.3,0.022,355.00,397,408,18,21,10,None
TTO,Trinidad and Tobago,Latin America and Caribbean,MICS,2006,0.02,5.6,35.1,0.4,0.3,0.6,11.4,0.015,1303.00,"1,348","1,354",73,76,9,Nutrition
AZE,Azerbaijan,Europe and Central Asia,DHS,2006,0.021,5.3,39.4,12.5,0.6,2.2,42.2,0.048,8630.00,"9,385","9,504",459,500,10,None
BRA,Brazil,Latin America and Caribbean,PNAD,2014,0.021,5.3,40.6,6.3,0.7,1.3,24.1,0.069,204213.00,"202,409","204,213","10,810","10,714",8,Nutrition & Floor
COL,Colombia,Latin America and Caribbean,DHS,2010,0.022,5.4,40.9,6.4,1.1,1.1,20.2,0.091,45918.00,"47,342","47,791","2,472","2,548",10,None
SUR,Suriname,Latin America and Caribbean,MICS,2010,0.024,5.9,40.8,4.4,1.1,1.6,27.8,0.091,526.00,543,548,31,32,9,Child Mortality
SLV,El Salvador,Latin America and Caribbean,MICS,2014,0.026,6.3,41.4,8.8,1.5,1,16.6,0.082,6281.00,"6,251","6,281",397,395,10,None
VNM,Viet Nam,East Asia and the Pacific,MICS,2013/14,0.029,7.1,40.7,3.3,1.2,1.2,16.5,0.096,91498.00,"91,498","92,545","6,518","6,518",9,Nutrition
DOM,Dominican Republic,Latin America and Caribbean,MICS,2014,0.034,8.8,38.5,4.1,1.1,1.6,17.6,0.062,10406.00,"10,281","10,406",919,908,9,Nutrition
ZAF,South Africa,Sub-Saharan Africa,NIDS,2014/15,0.036,9.2,39.1,14.8,1,0.8,8.7,0.04,54540.00,"53,767","54,540","5,007","4,936",10,None
MNG,Mongolia,East Asia and the Pacific,MICS,2013,0.041,9.9,41,18,1.1,1.6,16.1,0.047,2869.00,"2,869","2,924",285,285,10,None
PER,Peru,Latin America and Caribbean,DHS-Cont,2012,0.043,10.5,41,12.9,2,2,19,0.072,30159.00,"30,566","30,973","3,167","3,209",10,None
IRQ,Iraq,Arab States,MICS,2011,0.045,11.6,38.5,5.6,1.9,1.4,11.9,0.068,31727.00,"32,777","33,883","3,693","3,815",10,None
PHL,Philippines,East Asia and the Pacific,DHS,2013,0.052,11,47.3,6,4.7,2.1,19,0.123,98481.00,"98,481","100,102","10,846","10,846",8,School Attendance & Nutrition
TJK,Tajikistan,Europe and Central Asia,DHS,2012,0.054,13.2,40.8,20.8,2.5,2.4,18.4,0.064,7995.00,"8,178","8,363","1,056","1,080",10,None
SWZ,Swaziland,Sub-Saharan Africa,MICS,2014,0.066,16,41.5,22.8,3.4,3.2,20,0.078,1295.00,"1,271","1,295",207,203,10,None
IDN,Indonesia,East Asia and the Pacific,DHS,2012,0.066,15.5,42.9,7,4.2,4,26.1,0.1,248883.00,"252,032","255,131","38,493","38,980",9,Nutrition
MAR,Morocco,Arab States,PAPFAM,2010/11,0.067,15.4,43.7,12.1,4.6,8.1,52.4,0.115,32410.00,"33,825","34,318","5,000","5,218",10,None
GAB,Gabon,Sub-Saharan Africa,DHS,2012,0.07,16.5,42.5,22.3,3.8,3.2,19.5,0.087,1757.00,"1,817","1,876",290,300,10,None
NIC,Nicaragua,Latin America and Caribbean,DHS,2011/12,0.072,16.1,45,14.1,5.3,2.9,17.8,0.126,5808.00,"5,946","6,014",934,956,10,None
HND,Honduras,Latin America and Caribbean,DHS,2011/12,0.072,15.8,45.7,21,4.2,2.3,14.6,0.112,8352.00,"8,658","8,809","1,323","1,371",9,Electricity
STP,Sao Tome and Principe,Sub-Saharan Africa,MICS,2014,0.081,19.3,42.2,19.4,4.1,3.5,18,0.093,191.00,187,191,37,36,10,None
BOL,"Bolivia, Plurinational State of",Latin America and Caribbean,DHS,2008,0.089,20.5,43.7,18.7,5.8,10.5,51.3,0.098,9600.00,"10,400","10,562","1,963","2,127",10,None
GTM,Guatemala,Latin America and Caribbean,DHS,2014/15,0.113,24.8,45.7,21.9,8.6,4.8,19.6,0.13,16343.00,"10,400","10,562","4,047","2,576",10,None
BTN,Bhutan,South Asia,MICS,2010,0.119,27.2,43.9,17.2,8.5,8.3,30.7,0.114,728.00,765,776,198,208,10,None
VUT,Vanuatu,East Asia and the Pacific,MICS,2007,0.129,30.1,42.7,33.5,6.5,13.4,44.6,0.086,220.00,253,259,66,76,10,None
MMR,Myanmar,East Asia and the Pacific,DHS,2015/16,0.134,30.1,44.6,22.2,9.3,7.7,25.6,0.139,52404.00,"51,448","51,924","15,770","15,483",10,None
DJI,Djibouti,Arab States,MICS,2006,0.139,29.3,47.3,16.1,12.5,16.9,58.7,0.164,796.00,897,912,233,263,10,None
LSO,Lesotho,Sub-Saharan Africa,DHS,2014,0.14,32,43.9,26,8.9,8.1,25.5,0.111,2146.00,"2,117","2,146",686,677,10,None
KHM,Cambodia,East Asia and the Pacific,DHS,2014,0.146,33,44.3,21.6,10.6,9.8,29.7,0.132,15271.00,"15,023","15,271","5,042","4,960",10,None
ZWE,Zimbabwe,Sub-Saharan Africa,DHS,2015,0.152,35,43.4,26.1,10,9.4,26.8,0.091,15777.00,"15,055","15,412","5,525","5,272",10,None
GHA,Ghana,Sub-Saharan Africa,DHS,2014,0.156,33.7,46.2,23,12.4,11.1,32.9,0.15,26963.00,"26,346","26,963","9,080","8,873",10,None
COM,Comoros,Sub-Saharan Africa,DHS-MICS,2012,0.173,36,47.9,21.4,14.9,11.2,31.1,0.182,724.00,742,759,261,267,10,None
LAO,Lao People's Democratic Republic,East Asia and the Pacific,MICS/DHS,2011/12,0.174,34.1,50.9,20.7,16.8,13.2,38.6,0.217,6333.00,"6,495","6,576","2,161","2,216",10,None
NPL,Nepal,South Asia,DHS,2016,0.175,38.8,45,22.9,14.5,12.9,33.2,0.128,28994.00,"27,985","28,323","11,257","10,865",10,None
COG,"Congo, Republic of",Sub-Saharan Africa,DHS,2011/12,0.181,39.7,45.7,24.3,15,9.1,22.9,0.128,4513.00,"4,751","4,871","1,792","1,887",10,None
KEN,Kenya,Sub-Saharan Africa,DHS,2014,0.187,39.9,47,28.3,14.5,12.9,32.3,0.151,46024.00,"44,827","46,024","18,368","17,890",10,None
IND,India,South Asia,IHDS,2011/12,0.191,41.3,46.3,22.9,15.7,23.1,55.9,0.145,1247236.00,"1,278,562","1,293,859","515,044","527,980",10,None
NAM,Namibia,Sub-Saharan Africa,DHS,2013,0.193,42,46,18.6,15,18.4,43.9,0.137,2317.00,"2,317","2,371",972,972,10,None
BGD,Bangladesh,South Asia,DHS,2014,0.196,41.3,47.4,22.5,15.7,11.6,28.2,0.156,159405.00,"157,571","159,405","65,783","65,026",10,None
PAK,Pakistan,South Asia,DHS,2012/13,0.23,44.2,52.1,15.1,23.7,20.7,46.9,0.244,177912.00,"181,713","185,546","78,592","80,271",10,None
YEM,Yemen,Arab States,DHS,2013,0.236,45.9,51.4,18.7,23.2,18.7,40.9,0.227,25576.00,"25,576","26,246","11,733","11,733",10,None
CMR,Cameroon,Sub-Saharan Africa,DHS,2011,0.248,46,53.8,18.9,25.1,21.3,46.2,0.268,20520.00,"21,656","22,240","9,443","9,966",10,None
HTI,Haiti,Latin America and Caribbean,DHS,2012,0.248,49.4,50.3,22.6,24.7,18.1,36.7,0.19,10289.00,"10,432","10,572","5,083","5,153",10,None
MWI,Malawi,Sub-Saharan Africa,DHS,2015/16,0.251,53.7,46.7,29.2,19.7,16.3,30.3,0.135,17574.00,"16,577","17,069","9,433","8,898",10,None
TGO,Togo,Sub-Saharan Africa,DHS,2013/14,0.252,50.1,50.4,21.8,24,22.2,44.3,0.202,7043.00,"7,043","7,229","3,528","3,528",10,None
RWA,Rwanda,Sub-Saharan Africa,DHS,2014/15,0.259,53.8,48.1,26.4,22.7,15.9,29.6,0.142,11345.00,"11,065","11,345","6,103","5,953",10,None
AGO,Angola,Sub-Saharan Africa,DHS,2015/16,0.259,48,54,16.8,29.2,24.1,50.2,0.214,27859.00,"25,998","26,920","13,362","12,469",10,None
ZMB,Zambia,Sub-Saharan Africa,DHS,2013/14,0.281,56.6,49.8,20.6,26.7,20.9,37,0.169,15153.00,"15,153","15,621","8,571","8,571",10,None
TZA,"Tanzania, United Republic of",Sub-Saharan Africa,DHS,2015/16,0.284,56.6,50.2,24.1,27.9,19.4,34.3,0.163,53880.00,"50,637","52,235","30,507","28,671",10,None
MRT,Mauritania,Sub-Saharan Africa,MICS,2011,0.285,52.2,54.6,17.4,31.7,24.8,47.6,0.232,3718.00,"3,946","4,064","1,940","2,059",10,None
SDN,Sudan,Arab States,MICS,2014,0.287,53.4,53.7,17.3,31.7,26,48.7,0.232,37738.00,"36,850","37,738","20,153","19,679",10,None
AFG,Afghanistan,South Asia,DHS,2015/16,0.295,56.1,52.7,14.9,30.6,25.2,44.9,0.252,33736.00,"31,732","32,758","18,917","17,792",9,Nutrition
SEN,Senegal,Sub-Saharan Africa,DHS,2016,0.296,54.3,54.4,17.8,32.7,24.3,44.8,0.223,15426.00,"14,120","14,546","8,377","7,668",10,None
NGA,Nigeria,Sub-Saharan Africa,DHS,2013,0.303,53.2,56.8,17.5,32.8,34.6,65,0.297,171829.00,"171,829","176,461","91,497","91,497",10,None
BEN,Benin,Sub-Saharan Africa,DHS,2011/12,0.307,62.2,49.3,19.5,30.5,29.4,47.2,0.154,9461.00,"10,004","10,287","5,886","6,224",10,None
CIV,Cote d'Ivoire,Sub-Saharan Africa,DHS,2011/12,0.31,58.7,52.8,19.3,33,27.6,47,0.202,20895.00,"21,966","22,531","12,275","12,905",10,None
GMB,Gambia,Sub-Saharan Africa,DHS,2013,0.323,60.4,53.4,19,36.9,24.5,40.6,0.19,1859.00,"1,859","1,918","1,122","1,122",10,None
MDG,Madagascar,Sub-Saharan Africa,DHS,2008/09,0.357,66.9,53.3,17.9,35.4,36.7,54.9,0.179,19996.00,"22,961","23,590","13,373","15,356",10,None
TLS,Timor-Leste,East Asia and the Pacific,DHS,2009/10,0.36,68.1,52.9,18.2,38.7,49.1,72.2,0.213,1092.00,"1,184","1,213",743,806,10,None
UGA,Uganda,Sub-Saharan Africa,DHS,2011,0.367,69.9,52.5,19,38.2,29.8,42.6,0.192,35094.00,"37,554","38,833","24,537","26,258",10,None
GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2014,0.371,66.8,55.5,15.8,41.1,29.7,44.4,0.238,1726.00,"1,681","1,726","1,154","1,124",10,None
LBR,Liberia,Sub-Saharan Africa,DHS,2013,0.374,71.2,52.5,16.5,39.5,31.7,44.5,0.212,4286.00,"4,286","4,391","3,053","3,053",10,None
MOZ,Mozambique,Sub-Saharan Africa,DHS,2011,0.389,69.6,55.9,15.7,45,36.8,52.8,0.225,24939.00,"26,434","27,212","17,358","18,399",10,None
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,DHS,2013/14,0.401,75.1,53.4,16.1,44.9,35.3,47,0.205,71316.00,"71,316","73,723","53,551","53,551",10,None
CAF,Central African Republic,Sub-Saharan Africa,MICS,2010,0.43,77.6,55.5,15.5,49.9,39.8,51.3,0.223,4449.00,"4,500","4,515","3,451","3,491",10,None
BDI,Burundi,Sub-Saharan Africa,DHS,2010,0.454,80.8,56.2,14.1,50.5,39.2,48.6,0.233,8767.00,"9,600","9,892","7,082","7,755",10,None
MLI,Mali,Sub-Saharan Africa,DHS,2012/13,0.457,77.7,58.9,11,54.5,49.4,63.7,0.247,16007.00,"16,478","16,963","12,431","12,796",10,None
GIN,Guinea,Sub-Saharan Africa,DHS-MICS,2012,0.459,75.1,61.1,13.1,54.3,43.8,58.3,0.291,11281.00,"11,537","11,806","8,474","8,666",10,None
SLE,Sierra Leone,Sub-Saharan Africa,DHS,2013,0.464,81,57.3,11.9,54.7,47.8,59.1,0.245,6922.00,"6,922","7,079","5,607","5,607",10,None
ETH,Ethiopia,Sub-Saharan Africa,DHS,2016,0.506,83.1,60.9,9.1,63,45.4,54.7,0.267,102573.00,"94,888","97,367","85,213","78,828",10,None
SOM,Somalia,Arab States,MICS,2006,0.514,81.2,63.3,9.5,65.6,67.7,83.4,0.273,10718.00,"13,132","13,513","8,699","10,658",10,None
BFA,Burkina Faso,Sub-Saharan Africa,DHS,2010,0.535,84,63.7,7.1,65.7,57.5,68.5,0.3,15605.00,"17,073","17,586","13,108","14,341",10,None
TCD,Chad,Sub-Saharan Africa,DHS,2014/15,0.552,87.1,63.4,9.1,67.1,62.3,71.5,0.276,13569.00,"13,134","13,569","11,819","11,440",10,None
SSD,South Sudan,Sub-Saharan Africa,MICS,2010,0.557,91.1,61.2,6.9,71.1,71.4,78.4,0.203,10067.00,"11,177","11,531","9,171","10,182",10,None
NER,Niger,Sub-Saharan Africa,DHS,2012,0.605,89.3,67.7,6.2,74.3,68.8,77.1,0.293,17732.00,"18,426","19,148","15,829","16,449",10,None
